Series Name,"Country Name","Time","Value"
"Age population, age 0, male, interpolated","India","2000","13836115"
"Age population, age 0, male, interpolated","India","2001","13867246"
"Age population, age 0, male, interpolated","India","2002","13878211"
"Age population, age 0, male, interpolated","India","2003","13870631"
"Age population, age 0, male, interpolated","India","2004","13848228"
"Age population, age 0, male, interpolated","India","2012","12685558"
"Age population, age 0, male, interpolated","India","2013","12320502"
"Age population, age 0, male, interpolated","India","2014","12033524"
"Age population, age 0, male, interpolated","India","2015","11882501"
"Age population, age 0, male, interpolated","India","2016","11913293"
"Age population, age 0, male, interpolated","India","2017","12076564"
"Age population, age 0, male, interpolated","India","2018","12309129"
"Age population, age 0, male, interpolated","India","2019","12518937"
"Age population, age 0, male, interpolated","India","2020","12638285"
,"","",""
,"","",""
,"","",""
Data from database: Gender Statistics,"","",""
Last Updated: 12/18/2021,"","",""
